title,nhan_that,du_doan,confidence,loai_loi,nguyen_nhan,desc_100
Nhân Viên Lập Trình Web,Frontend Developer,Other IT Role,-0.3362779875085016,FP/FN,Other IT Role quá rộng,mô tả công việc lập trình website bằng php sử dụng các framework phổ biến như laravel codeigniter hoặc cms như wordpress
Lập trình viên JAVA,Backend Developer,Other IT Role,-0.3801659154463206,FP/FN,Other IT Role quá rộng,nms đang tìm kiếm 05 ứng viên cho vị trí lập trình viên java. làm việc trực tiếp với đối tác phối hợp triển khai dự án p
Java Developer Lead,Other IT Role,Backend Developer,-0.5724818639123974,FP/FN,Other IT Role quá rộng,mô tả công việc phát triển triển khai và duy trì các ứng dụng web sử dụng java và các framework liên quan. tham gia vào 
"Senior Java Developer (Spring Boot,JavaEE,Good English)",Backend Developer,Java Developer,-0.4677850276838139,FP/FN,Chồng lấp ngữ nghĩa,about the job join a dynamic team of java developers working on a cutting edge global platform for processing thousands 
"(Senior) Automation Tester (QA/QC, Java, JavaScript)",Other IT Role,QA Engineer,0.2309754466283762,FP/FN,Other IT Role quá rộng,job description as a senior automation tester you ll lead automation efforts for web mobile and api platforms ensuring h
Unity Developer,Other IT Role,Game Developer,0.8857218120561567,FP/FN,Other IT Role quá rộng,mô tả công việc participate in developing game projects casual/puzzle on the unity platform coordinate and discuss with 
Software Engineer (Front-End),Frontend Developer,Software Engineer,0.3650757507762392,FP/FN,Thiếu tín hiệu đặc trưng,what you will be doing developing a clean and maintainable code using software engineering best practices and modern pla
Senior Golang Developer,Backend Developer,Other IT Role,-0.3362249108496692,FP/FN,Other IT Role quá rộng,top 3 reasons to join us 1 trong 10 website có lượng truy cập lớn nhất môi trường năng động trẻ sáng tạo gắn kết mức lươ
Java Technical Lead,Other IT Role,Software Engineer,-0.4239445288267766,FP/FN,Other IT Role quá rộng,mô tả công việc work as senior software developer on the web based application product in java related and open source t
C++ Developer,Other IT Role,Embedded Engineer,-0.46073915236897744,FP/FN,Other IT Role quá rộng,innotech is looking for a c++ developer to join our team and contribute to software development projects in industrial s
Lập Trình Wordpress Developer,Backend Developer,Other IT Role,-0.23785231344402236,FP/FN,Other IT Role quá rộng,thiết kế lập trình và phát triển các website trên nền tảng wordpress. tối ưu hóa hiệu suất bảo mật và seo cho các trang 
Lập Trình Viên .Net - Senior,Software Engineer,Backend Developer,-0.14181938652440385,FP/FN,Chồng lấp ngữ nghĩa,tham gia phát triển sản phẩm phần mềm quản lý bán hàng kiotviet phối hợp các phòng ban khác trong phân tích nghiệp vụ ph
Junior/Middle Automation Tester (Python),Other IT Role,QA Engineer,-0.13564661446973048,FP/FN,Other IT Role quá rộng,top 3 reasons to join us very attractive salary package performance bonus 20 days annual leaves full legal package and 1
"Middle/Senior Java Developer (Spring Boot, English, AI)",Java Developer,Backend Developer,-0.28811117248672236,FP/FN,Chồng lấp ngữ nghĩa,top 3 reasons to join us attractive salary benefits hybrid working technical training sessions internal external pvi hea
Mobile Fullstack Developer,Mobile Developer,Full-stack Developer,0.2569889301022803,FP/FN,Thiếu tín hiệu đặc trưng,tips provide a summary of the role what success in the position looks like and how this role fits into the organization 
