title,nhan_that,du_doan,confidence,loai_loi,nguyen_nhan,huong_xu_ly,desc_100
Nhân Viên Lập Trình Web,Frontend Developer,Other IT Role,-0.33075980600840005,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc lập trình website bằng php sử dụng các framework phổ biến như laravel codeigniter hoặc cms như wordpress
Lập trình viên JAVA,Backend Developer,Other IT Role,-0.37567846095760427,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,nms đang tìm kiếm 05 ứng viên cho vị trí lập trình viên java. làm việc trực tiếp với đối tác phối hợp triển khai dự án p
Java Developer Lead,Other IT Role,Backend Developer,-0.5742129458078711,FP/FN,Other IT Role quá rộng,Tách vai trò Web Developer ra khỏi Other nếu ≥35 mẫu; thêm skill keywords,mô tả công việc phát triển triển khai và duy trì các ứng dụng web sử dụng java và các framework liên quan. tham gia vào 
"Senior Java Developer (Spring Boot,JavaEE,Good English)",Backend Developer,Java Developer,-0.46620748133821954,FP/FN,Chồng lấp ngữ nghĩa,Giữ nguyên – hai lớp thực sự chồng lấp ngữ nghĩa,about the job join a dynamic team of java developers working on a cutting edge global platform for processing thousands 
"(Senior) Automation Tester (QA/QC, Java, JavaScript)",Other IT Role,QA Engineer,0.24182026663190914,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,job description as a senior automation tester you ll lead automation efforts for web mobile and api platforms ensuring h
Unity Developer,Other IT Role,Game Developer,0.8856716329763982,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,mô tả công việc participate in developing game projects casual/puzzle on the unity platform coordinate and discuss with 
Software Engineer (Front-End),Frontend Developer,Software Engineer,0.3637981589863003,FP/FN,Thiếu tín hiệu đặc trưng,Phân tích thêm feature importance để xác định từ gây nhầm,what you will be doing developing a clean and maintainable code using software engineering best practices and modern pla
Senior Golang Developer,Backend Developer,Other IT Role,-0.3300119034436379,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us 1 trong 10 website có lượng truy cập lớn nhất môi trường năng động trẻ sáng tạo gắn kết mức lươ
Java Technical Lead,Other IT Role,Software Engineer,-0.4249309174039394,FP/FN,Other IT Role quá rộng,"Thêm char n-gram (2,4) để phân biệt từ kỹ thuật đặc thù",mô tả công việc work as senior software developer on the web based application product in java related and open source t
C++ Developer,Other IT Role,Embedded Engineer,-0.4635982025795221,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,innotech is looking for a c++ developer to join our team and contribute to software development projects in industrial s
Lập Trình Wordpress Developer,Backend Developer,Other IT Role,-0.236004133875495,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,thiết kế lập trình và phát triển các website trên nền tảng wordpress. tối ưu hóa hiệu suất bảo mật và seo cho các trang 
Lập Trình Viên .Net - Senior,Software Engineer,Backend Developer,-0.15811483121502268,FP/FN,Chồng lấp ngữ nghĩa,"Tăng trọng số từ phân biệt SE (system design, architecture)",tham gia phát triển sản phẩm phần mềm quản lý bán hàng kiotviet phối hợp các phòng ban khác trong phân tích nghiệp vụ ph
Junior/Middle Automation Tester (Python),Other IT Role,QA Engineer,-0.13997003488502768,FP/FN,Other IT Role quá rộng,Phân tích thêm feature importance để xác định từ gây nhầm,top 3 reasons to join us very attractive salary package performance bonus 20 days annual leaves full legal package and 1
"Middle/Senior Java Developer (Spring Boot, English, AI)",Java Developer,Backend Developer,-0.28770521173062247,FP/FN,Chồng lấp ngữ nghĩa,"Thêm skill keyword ""java"" × 2 để tăng tín hiệu",top 3 reasons to join us attractive salary benefits hybrid working technical training sessions internal external pvi hea
