Vai trò,Precision,Recall,F1-score,Số mẫu test,Đánh giá
Full-stack Developer,0.901,1.0,0.948,64,Tốt
Software Developer,0.889,1.0,0.941,8,Tốt
Frontend Developer,0.963,0.912,0.937,57,Tốt
Mobile Developer,0.946,0.921,0.933,38,Tốt
Business Analyst,0.818,1.0,0.9,9,Tốt
Game Developer,0.786,0.917,0.846,12,Tốt
QA Engineer,0.722,0.963,0.825,27,Tốt
Backend Developer,0.796,0.789,0.793,109,Khá
AI Engineer,0.667,0.923,0.774,13,Khá
Software Engineer,0.75,0.796,0.772,49,Khá
Other IT Role,0.847,0.696,0.764,191,Khá
Data Engineer,0.615,1.0,0.762,8,Khá
Embedded Engineer,0.643,0.9,0.75,10,Khá
DevOps Engineer,0.714,0.714,0.714,7,Khá
Java Developer,0.538,0.583,0.56,12,Cần cải thiện
