title,nhan_that,du_doan,confidence,loai_loi,nguyen_nhan,desc_100
Senior Developer (Java),Backend Developer,Other IT Role,-0.5059855607913267,FP/FN,Other IT Role quá rộng,company description technology is our how. and people are our why. for over two decades we have been harnessing technolo
Fresher Automation Test Engineer (QA/QC/Tester),Software Engineer,QA Engineer,-0.05378425168451906,FP/FN,Thiếu tín hiệu đặc trưng,company description kms technology was established in 2009 as a u.s. based software services company. with development c
Senior System Administrator (Shift Work),Other IT Role,DevOps/Cloud/System Engineer,-0.314553112970968,FP/FN,Other IT Role quá rộng,top 3 reasons to join us 1. attractive remuneration package with 18 days off 2. smart people interesting project swiss q
Software Testing Engineer,Software Engineer,QA Engineer,0.8324081493790101,FP/FN,Thiếu tín hiệu đặc trưng,we are seeking an experienced testing software engineer with a minimum of 4+ years of experience in software testing and
Software Engineer (Back-End),Backend Developer,Software Engineer,-0.3074574492698523,FP/FN,Chồng lấp ngữ nghĩa,what you will be doing developing a clean and maintainable code using software engineering best practices and modern pla
Android Developer (Middle - Senior | New Headcounts),Mobile Developer,Other IT Role,-0.43630047851184406,FP/FN,Other IT Role quá rộng,job purpose/mission the android developer participates in projects team to deliver software for android payment terminal
C++ Developer,Other IT Role,Embedded Engineer,-0.5338788656522471,FP/FN,Other IT Role quá rộng,as a c++ developer you will be responsible for analyzing requirements and designing technical solutions. writing technic
Back-End Developer,Other IT Role,Backend Developer,-0.38713648240953735,FP/FN,Other IT Role quá rộng,mô tả công việc thiết kế phát triển vận hành và tối ưu hệ thống back end phục vụ sản xuất quản lý vật tư nesting ai cnc 
"Software Developer (PHP, Laravel, NodeJS)",Software Engineer,Backend Developer,0.03401756563662095,FP/FN,Chồng lấp ngữ nghĩa,1 tham gia phát triển bảo trì nâng cấp các ứng dụng phục vụ ngành logistics trên nền tảng php laravel hoặc nodejs bao gồ
Senior React Native Good English,Mobile Developer,Frontend Developer,-0.3681625442007139,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc build pixel perfect buttery smooth uis across both mobile platforms. leverage native apis for deep integ
Senior .NET Enginer,Software Engineer,Backend Developer,-0.3882378629474895,FP/FN,Chồng lấp ngữ nghĩa,top 3 reasons to join us attractive remuneration package with 18 days off smart people interesting project swiss quality
Tester,Other IT Role,QA Engineer,-0.1152731994380004,FP/FN,Other IT Role quá rộng,𝐍𝐚𝐦 𝐓𝐮 𝐋𝐢𝐞 𝐦 𝐇𝐍 𝐭𝐮𝐲𝐞 𝐧 𝐝𝐮 𝐧𝐠 𝐯𝐢 𝐭𝐫𝐢 𝐓𝐞𝐬𝐭𝐞𝐫 𝒀𝒆 𝒖 𝒄𝒂 𝒖 𝒖 𝒏𝒈 𝒗𝒊𝒆 𝒏 đã từng có kinh nghiệm làm việc trong lĩnh vực tester fr
Software Engineer,Software Engineer,Embedded Engineer,0.12755347727318056,FP/FN,Thiếu tín hiệu đặc trưng,you will be responsible for working in full scope of hypervisor sdk development. designing implementing the ui sdk toolk
Nhân Viên Wordpress Developer,Other IT Role,Frontend Developer,-0.1425884626773185,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia xây dựng hệ thống website lập trình web dựa trên mã nguồn wordpress. có kinh nghiệm về ui/ux xâ
Lập Trình Wordpress Developer,Backend Developer,Frontend Developer,-0.31896149206068247,FP/FN,Thiếu tín hiệu đặc trưng,thiết kế lập trình và phát triển các website trên nền tảng wordpress. tối ưu hóa hiệu suất bảo mật và seo cho các trang 
Senior Java Developer,Backend Developer,Software Engineer,-0.2822232165681219,FP/FN,Chồng lấp ngữ nghĩa,mô tả công việc xây dựng và phát triển sản phẩm mới tập trung vào các giải pháp đột phá trong lĩnh vực chính phủ doanh n
Lập Trình Viên Java Dev (Middle To TechLead),Java Developer,Other IT Role,-0.5104587790407824,FP/FN,Other IT Role quá rộng,trung tâm công nghệ thông tin thuộc viettel construction tuyển dụng dev lead java middle leader/pm phụ trách các phần mề
Thực Tập Sinh,Other IT Role,Game Developer,0.7839805776766794,FP/FN,Other IT Role quá rộng,mô tả công việc phát triển game 2d/3d trên nền tảng unity tham gia các dự án về game. dev bằng unity và các phần mềm lập
"Senior Java Developer (Spring Boot,JavaEE,Good English)",Backend Developer,Java Developer,-0.5468091107224745,FP/FN,Chồng lấp ngữ nghĩa,about the job join a dynamic team of java developers working on a cutting edge global platform for processing thousands 
Backend Intern (NestJS / FastAPI),Other IT Role,Backend Developer,-0.31953191739643405,FP/FN,Other IT Role quá rộng,mô tả công việc tham gia vào dự án thật dưới sự hướng dẫn của mentor học và thực hành phát triển api sử dụng nestjs và f
Kỹ Sư Cơ Khí,Other IT Role,Embedded Engineer,-0.10684187130697576,FP/FN,Other IT Role quá rộng,mô tả công việc thiết kế và lập trình các chương trình điều khiển cho máy móc thiết bị tự động hóa trong lĩnh vực cơ khí
